,estacion,concentracion,dt
7032,47,2.0,2019-04-04 20:00:00
7034,48,7.0,2019-04-04 20:00:00
7035,50,2.0,2019-04-04 20:00:00
7064,8,4.0,2019-04-04 20:00:00
7075,38,5.0,2019-04-04 21:00:00
7096,47,1.0,2019-04-04 21:00:00
7103,8,7.0,2019-04-04 21:00:00
7105,48,4.0,2019-04-04 21:00:00
7112,50,6.0,2019-04-04 21:00:00
7131,24,2.0,2019-04-04 21:00:00
7193,50,5.0,2019-04-04 22:00:00
7195,24,3.0,2019-04-04 22:00:00
7196,38,5.0,2019-04-04 22:00:00
7201,48,6.0,2019-04-04 22:00:00
7206,8,3.0,2019-04-04 22:00:00
7212,47,4.0,2019-04-04 22:00:00
7222,47,6.0,2019-04-04 23:00:00
7229,38,6.0,2019-04-04 23:00:00
7260,50,7.0,2019-04-04 23:00:00
7265,48,3.0,2019-04-04 23:00:00
7268,24,3.0,2019-04-04 23:00:00
7283,8,10.0,2019-04-04 23:00:00
7320,38,5.0,2019-04-05 00:00:00
7325,8,5.0,2019-04-05 00:00:00
7328,50,6.0,2019-04-05 00:00:00
7341,47,2.0,2019-04-05 00:00:00
7342,48,6.0,2019-04-05 00:00:00
7344,24,4.0,2019-04-05 00:00:00
7374,24,5.0,2019-04-05 01:00:00
7382,50,7.0,2019-04-05 01:00:00
7413,8,1.0,2019-04-05 01:00:00
7416,38,2.0,2019-04-05 01:00:00
7419,47,5.0,2019-04-05 01:00:00
7434,48,4.0,2019-04-05 01:00:00
7456,8,1.0,2019-04-05 02:00:00
7468,47,7.0,2019-04-05 02:00:00
7487,24,3.0,2019-04-05 02:00:00
7496,38,3.0,2019-04-05 02:00:00
7500,48,3.0,2019-04-05 02:00:00
7509,50,3.0,2019-04-05 02:00:00
7541,24,2.0,2019-04-05 03:00:00
7550,8,6.0,2019-04-05 03:00:00
7569,50,3.0,2019-04-05 03:00:00
7578,47,7.0,2019-04-05 03:00:00
7579,48,2.0,2019-04-05 03:00:00
7580,38,1.0,2019-04-05 03:00:00
7632,50,2.0,2019-04-05 04:00:00
7641,47,2.0,2019-04-05 04:00:00
7642,48,2.0,2019-04-05 04:00:00
7652,8,9.0,2019-04-05 04:00:00
7657,38,3.0,2019-04-05 04:00:00
7666,24,2.0,2019-04-05 04:00:00
7676,24,4.0,2019-04-05 05:00:00
7680,47,4.0,2019-04-05 05:00:00
7716,8,7.0,2019-04-05 05:00:00
7729,50,3.0,2019-04-05 05:00:00
7744,38,2.0,2019-04-05 05:00:00
7748,48,1.0,2019-04-05 05:00:00
7763,38,2.0,2019-04-05 06:00:00
7783,50,4.0,2019-04-05 06:00:00
7787,48,2.0,2019-04-05 06:00:00
7796,8,7.0,2019-04-05 06:00:00
7804,24,3.0,2019-04-05 06:00:00
7807,47,5.0,2019-04-05 06:00:00
7837,48,6.0,2019-04-05 07:00:00
7857,50,4.0,2019-04-05 07:00:00
7858,47,5.0,2019-04-05 07:00:00
7873,24,3.0,2019-04-05 07:00:00
7881,38,3.0,2019-04-05 07:00:00
7897,8,7.0,2019-04-05 07:00:00
7910,50,8.0,2019-04-05 08:00:00
7934,8,8.0,2019-04-05 08:00:00
7937,48,7.0,2019-04-05 08:00:00
7959,47,4.0,2019-04-05 08:00:00
7964,24,4.0,2019-04-05 08:00:00
7966,38,6.0,2019-04-05 08:00:00
7992,50,9.0,2019-04-05 09:00:00
7997,8,15.0,2019-04-05 09:00:00
8028,38,7.0,2019-04-05 09:00:00
8039,48,5.0,2019-04-05 09:00:00
8043,24,7.0,2019-04-05 09:00:00
8050,47,4.0,2019-04-05 09:00:00
