,estacion,concentracion,dt
3334,55,23.0,2019-04-02 19:00:00
3335,8,6.0,2019-04-02 19:00:00
3339,50,13.0,2019-04-02 19:00:00
3342,18,11.0,2019-04-02 19:00:00
3344,36,26.0,2019-04-02 20:00:00
3358,38,9.0,2019-04-02 20:00:00
3361,40,37.0,2019-04-02 20:00:00
3362,47,2.0,2019-04-02 20:00:00
3369,48,12.0,2019-04-02 20:00:00
3370,60,8.0,2019-04-02 20:00:00
3389,18,9.0,2019-04-02 20:00:00
3390,24,3.0,2019-04-02 20:00:00
3391,8,21.0,2019-04-02 20:00:00
3398,50,12.0,2019-04-02 20:00:00
3404,55,11.0,2019-04-02 20:00:00
3419,57,4.0,2019-04-02 20:00:00
3428,55,14.0,2019-04-02 21:00:00
3437,18,10.0,2019-04-02 21:00:00
3440,38,12.0,2019-04-02 21:00:00
3444,50,17.0,2019-04-02 21:00:00
3449,40,24.0,2019-04-02 21:00:00
3460,47,6.0,2019-04-02 21:00:00
3461,48,9.0,2019-04-02 21:00:00
3462,8,29.0,2019-04-02 21:00:00
3469,57,4.0,2019-04-02 21:00:00
3481,24,3.0,2019-04-02 21:00:00
3492,60,5.0,2019-04-02 21:00:00
3493,36,18.0,2019-04-02 21:00:00
3509,40,7.0,2019-04-02 22:00:00
3514,36,16.0,2019-04-02 22:00:00
3515,8,31.0,2019-04-02 22:00:00
3516,57,48.0,2019-04-02 22:00:00
3524,38,15.0,2019-04-02 22:00:00
3545,55,19.0,2019-04-02 22:00:00
3548,60,38.0,2019-04-02 22:00:00
3549,48,14.0,2019-04-02 22:00:00
3553,18,10.0,2019-04-02 22:00:00
3559,24,2.0,2019-04-02 22:00:00
3567,50,21.0,2019-04-02 22:00:00
3569,47,5.0,2019-04-02 22:00:00
3576,48,16.0,2019-04-02 23:00:00
3582,57,18.0,2019-04-02 23:00:00
3587,8,15.0,2019-04-02 23:00:00
3592,18,15.0,2019-04-02 23:00:00
3593,40,16.0,2019-04-02 23:00:00
3596,24,5.0,2019-04-02 23:00:00
3601,47,6.0,2019-04-02 23:00:00
3602,60,20.0,2019-04-02 23:00:00
3616,50,15.0,2019-04-02 23:00:00
3627,36,18.0,2019-04-02 23:00:00
3643,55,22.0,2019-04-02 23:00:00
3645,38,16.0,2019-04-02 23:00:00
3649,38,11.0,2019-04-03 00:00:00
